Transcript.ID,Gene.ID,expression,change,log_change,DMSO_4H_2,THZ1_4H_250nM,log2_fold_4h_250nM,rank
NM_001077397,IRF2BP2,11.319,10.2885,-1.0305,11.283,7.453,-3.83,1930
NM_001077470,NR1I3,5.2315,4.957,-0.2745,5.351,4.844,-0.507,517
NM_001077474,NR1I3,5.2315,4.957,-0.2745,5.351,4.844,-0.507,518
NM_001077475,NR1I3,5.2315,4.957,-0.2745,5.351,4.844,-0.507,516
NM_001077526,MTMR14,5.953,6.2355,0.2825,5.959,5.3675,-0.5915,791
NM_001077527,JRK,7.0175,6.168,-0.8495,6.486,5.062,-1.424,1148
NM_001079670,CAB39L,5.705,5.183,-0.522,5.709,5.583,-0.126,701
NM_001079821,NLRP3,6.3965,5.716,-0.6805,5.683,5.4855,-0.1975,961
NM_001079843,CASZ1,7.129,6.896,-0.233,7.606,7.256,-0.35,1177
NM_001079855,GYG2,5.809,5.5485,-0.2605,5.97,5.664,-0.306,743
NM_001079867,PEX2,8.5685,7.941,-0.6275,9.684,8.7325,-0.9515,1525
NM_001080397,SLC45A1,6.3185,5.439,-0.8795,5.985,5.5195,-0.4655,935
NM_001080401,PPM1N,6.346,5.9805,-0.3655,6.327,6.021,-0.306,946
NM_001080427,THSD7B,4.644,4.469,-0.175,4.827,4.4675,-0.3595,252
NM_001080481,USP45,5.643,7.06,1.417,7.079,7.348,0.269,673
NM_001080496,RGP1,9.71,8.4055,-1.3045,9.881,8.421,-1.46,1734
NM_001080504,RBM44,5.266,4.778,-0.488,5.141,4.7455,-0.3955,534
NM_001080516,GRXCR2,5.765,5.6745,-0.0905,6.026,5.471,-0.555,719
NM_001080546,TMEM218,8.68,7.887,-0.793,9.173,8.0345,-1.1385,1549
NM_001080547,SPI1,4.8205,4.7695,-0.051,5.286,4.877,-0.409,325
NM_001080836,MEIG1,4.959,4.2195,-0.7395,4.494,4.3825,-0.1115,373
NM_001080849,DNLZ,8.842,8.8985,0.0565,9.35,8.5405,-0.8095,1587
NM_001080950,MYO1C,7.1305,6.734,-0.3965,7.308,6.875,-0.433,1178
NM_001081443,LILRB5,5.4195,5.2945,-0.125,5.842,5.477,-0.365,599
NM_001082480,ZNF623,7.419,6.3885,-1.0305,7.654,5.6395,-2.0145,1231
NM_001082968,TOM1L2,7.5725,6.563,-1.0095,7.051,6.2675,-0.7835,1276
NM_001083625,ANKRD12,5.6355,5.39,-0.2455,6.402,6.7365,0.3345,668
NM_001083913,C10orf26,9.934,7.8315,-2.1025,9.476,5.8655,-3.6105,1772
NM_001085458,CTNND1,5.415,5.143,-0.272,5.56,5.0485,-0.5115,596
NM_001085461,CTNND1,5.415,5.143,-0.272,5.56,5.0485,-0.5115,598
NM_001085468,CTNND1,5.415,5.143,-0.272,5.56,5.0485,-0.5115,597
NM_001085487,MYSM1,6.174,5.8515,-0.3225,8.4,7.1895,-1.2105,876
NM_001086521,C17orf89,9.95,9.411,-0.539,10.856,10.1235,-0.7325,1774
NM_001097616,GPR89C,7.0975,6.247,-0.8505,7.816,6.631,-1.185,1168
NM_001097634,GCNT1,6.2245,6.2935,0.069,6.043,4.749,-1.294,898
NM_001097636,GCNT1,6.2245,6.2935,0.069,6.043,4.749,-1.294,897
NM_001098486,SLC17A3,4.9605,5.1275,0.167,4.76,4.958,0.198,378
NM_001098507,ZNF207,11.2315,11.3105,0.079,12.357,10.9445,-1.4125,1925
NM_001098517,CADM1,5.989,5.538,-0.451,6.317,5.727,-0.59,812
NM_001099269,ZNF506,3.467,2.9715,-0.4955,3.717,3.223,-0.494,20
NM_001099285,PTMA,14.051,13.923,-0.128,14.484,14.1505,-0.3335,1999
NM_001099404,SCN5A,5.629,5.6095,-0.0195,5.976,5.6415,-0.3345,665
NM_001099405,SCN5A,6.0845,5.796,-0.2885,6.145,5.8885,-0.2565,840
NM_001099412,KAT6A,8.508,8.363,-0.145,10.922,8.0055,-2.9165,1505
NM_001099667,ARMS2,4.9615,4.5335,-0.428,5.168,4.919,-0.249,379
NM_001099682,MAGIX,5.3385,5.0715,-0.267,5.45,5.13,-0.32,565
NM_001099694,ZNF578,5.176,5.062,-0.114,5.014,4.838,-0.176,491
NM_001099743,SYBU,6.3075,6.114,-0.1935,6.592,6.259,-0.333,932
NM_001099751,SYBU,6.3075,6.114,-0.1935,6.592,6.259,-0.333,931
NM_001099755,SYBU,6.3075,6.114,-0.1935,6.592,6.259,-0.333,933
NM_001099786,ICAM2,10.908,9.4815,-1.4265,10.574,8.267,-2.307,1896
NM_001100164,PHACTR2,5.521,5.245,-0.276,5.916,5.2505,-0.6655,630
NM_001100409,SENP6,6.7225,5.9525,-0.77,9.63,7.862,-1.768,1066
NM_001100592,ATP6V0E2,9.5465,9.193,-0.3535,9.145,8.955,-0.19,1708
NM_001100607,SERPINA10,4.784,5.0005,0.2165,4.607,5.013,0.406,304
NM_001100621,C17orf80,7.73,6.561,-1.169,9.569,7.0715,-2.4975,1317
NM_001100812,CXCL16,5.821,5.509,-0.312,5.48,5.021,-0.459,751
NM_001100818,PID1,5.367,5.1695,-0.1975,5.589,5.254,-0.335,576
NM_001100873,C16orf46,6.8375,6.601,-0.2365,6.806,5.7865,-1.0195,1102
NM_001101404,SH2D7,4.9965,4.9805,-0.016,5.328,4.5915,-0.7365,398
NM_001101648,NPC1L1,6.552,6.197,-0.355,6.644,6.1905,-0.4535,1007
NM_001102406,ALPK1,5.3535,5.232,-0.1215,5.554,5.2665,-0.2875,573
